Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Kích thước,Chất liệu,data_id
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,337475
"3-cell, 53.5Wh",Windows 11 Home SL,2025,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - 2.3 kg,Vỏ nhựa,340004
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,340558
"3-cell Li-ion, 42 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,2025,Dài 358.7 mm - Rộng 249.5 mm - Dày 19.9 mm - 1.88 kg,Vỏ nhựa,334795
"4-cell Li-ion, 90 Wh",Windows 11 Home SL,2024,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm - 2.2 kg,Vỏ nhựa,327896
"3 cell, 41.04 Wh",Windows 11 Home SL,2023,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm - 1.69 kg,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,340478
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2021,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,337473
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2024,Dài 357.6 mm - Rộng 247 mm - Dày 18.9 mm - 1.7 kg,Vỏ nhựa,333421
"3-cell, 50Wh",Windows 11 Home SL,2023,Dài 362.3 mm - Rộng 237.4 mm - Dày 19.9 mm - 2.1 kg,Vỏ nhựa - nắp lưng bằng kim loại,332578
"3-cell, 43Wh",Windows 11 Home SL,2024,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - 1.5 kg,Vỏ nhựa,340481
47 Wh,Windows 11 Home SL,2023,Dài 359.3 mm - Rộng 235 mm - Dày 17.9 mm - 1.62 kg,Vỏ nhựa,322073
80 Wh,Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 344.9 mm - Rộng 255.35 mm - Dày 21.54 mm - 1.9 kg,Vỏ nhựa - nắp lưng bằng kim loại,340487
"Li-Po, 72.4 Wh",macOS Sequoia,10/2024,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - 1.6 kg,Vỏ nhôm tái chế 100%,332450
"3-cell Li-ion, 52.4 Wh",Windows 11 Home SL,2023,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - 1.86 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,308697
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - 1.4 kg,Vỏ nhựa,317704
"4-cell Li-ion, 75 Wh",Windows 11 Home SL,2024,Dài 353.6 mm - Rộng 246.9 mm - Dày 15.9 mm - 1.5 kg,Vỏ kim loại - Nhôm,325479
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,333105
"3-cell Li-ion, 41 Wh",Windows 11 Home SL + Office Home 2024 vĩnh viễn,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,337469
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 357.7 mm - Rộng 254.8 mm - Dày 17.9 mm - 1.77 kg,Vỏ nhựa,337041
"3-cell Li-ion, 58 Wh",Windows 11 Home SL,2024,Dài 357.6 mm - Rộng 247 mm - Dày 18.9 mm - 1.7 kg,Vỏ nhựa,333423
"4-cell Li-ion, 54.8 Wh",Windows 11 Home SL,2025,Dài 359.5 mm - Rộng 238 mm - Dày 22.7 mm - 1.99 kg,Nắp lưng và chiếu nghỉ tay bằng kim loại,341604
"4-cell Li-ion, 70 Wh",Windows 11 Home SL,2023,Dài 369 mm - Rộng 259.4 mm - Dày 23.9 mm - 2.34 kg,Vỏ nhựa,313974
48Wh,Windows 11 Home SL,2025,Dài 356 mm - Rộng 249 mm - Dày 17.05 mm - 1.63 kg,Vỏ kim loại - Nhôm,339656
45Wh,Windows 11 Home SL,2024,Dài 356 mm - Rộng 253.5 mm - Dày 17.5 mm - 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,332370
"3-cell, 53.5Wh",Windows 11 Home SL,2023,Dài 359 mm - Rộng 259 mm - Dày 24.95 mm - 2.25 kg,Vỏ nhựa,314849
57Wh,Windows 11 Home SL,2024,Dài 313 mm - Rộng 227 mm - Dày 17.5 mm - 1.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,334440
"4-cell, 54Wh",Windows 11 Home SL + Office Home 2024 + Microsoft 365 Basic 1 năm,2025,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,342469
"3-cell Li-ion, 42 Wh",Windows 11 Home SL,2023,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - 1.7 kg,Vỏ nhựa,327977
"3-cell, 48Wh",Windows 11 Home SL,2024,Dài 359 mm - Rộng 256 mm - Dày 24.5 mm - 2.3 kg,Vỏ nhựa,330578
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 357.7 mm - Rộng 254.8 mm - Dày 17.9 mm - 1.77 kg,Vỏ nhựa,337043
"4-cell, 57Wh",Windows 11 Home SL,2023,Dài 362.3 mm - Rộng 239.89 mm - Dày 22.9 ~ 26.9 mm - 2.1 kg,Vỏ nhựa,319657
"4-cell, 54Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 314 mm - Rộng 226.15 mm - Dày 18.9 mm - 1.56 kg,Vỏ nhựa,325953
"3-cell Li-ion, 59 Wh",Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,2024,Dài 313.3 mm - Rộng 218.9 mm - Dày 16.9 mm - 1.39 kg,Vỏ kim loại,331506
"3-cell, 53Wh",Windows 11 Home SL,2024,Dài 359.7 mm - Rộng 253.22 mm - Dày 17.9 mm - 1.64 kg,Vỏ nhựa - nắp lưng bằng kim loại,333424
