pid,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Chất liệu,Cân nặng
341270,41 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.6 kg
330162,48 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
338318,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
318163,52.5 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.3 kg
339857,60 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
335553,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.4 kg
328814,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.5 kg
327707,53.5 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,2.0 kg
331566,72.4 Wh,macOS Sequoia,2024,Vỏ nhôm tái chế 100%,1.6 kg
341607,76 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.1 kg
327050,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.4 kg
340559,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
336036,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
325697,57 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.1 kg
334998,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.8 kg
328949,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
337042,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.7 kg
326831,43 Wh,Windows 11 Home SL,2024,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,1.5 kg
327097,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
335555,60 Wh,Windows 11 Home SL,,Vỏ kim loại - Nhôm,1.4 kg
333103,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
341602,58 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
330932,52.4 Wh,Windows 11 Home SL,2024,Nắp lưng và chiếu nghỉ tay bằng kim loại,1.9 kg
334689,54 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.1 kg
338316,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
341618,41 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.6 kg
338322,70 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.8 kg
333102,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.9 kg
334794,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
339202,58 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.5 kg
322222,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.4 kg
340479,41.04 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
334449,60 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.4 kg
339587,60 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.4 kg
331568,72.4 Wh,macOS Sequoia,2024,Vỏ nhôm tái chế 100%,1.6 kg
326861,52.4 Wh,Windows 11 Home SL,2023,Nắp lưng và chiếu nghỉ tay bằng kim loại,1.9 kg
337044,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.7 kg
339581,60 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.4 kg
337472,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
340491,38 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.4 kg
322270,42 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.4 kg
338320,70 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.4 kg
313177,50 Wh,Windows 11 Home SL,2023,Vỏ nhựa - nắp lưng bằng kim loại,2.1 kg
