Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,data_id,NPU,Hiệu năng xử lý AI (TOPS),
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),333197,Intel AI Boost,Lên đến 47 TOPS,
Intel Core Ultra 7 Arrow Lake - 255HX,20,20,2.40 GHz (Lên đến 5.20 GHz khi tải nặng),339952,Intel AI Boost,Max 13 TOPS,
"['AMD Ryzen 7 - 5700U', 'AMD Ryzen 7']",8,16,1.80 GHz (Lên đến 4.30 GHz khi tải nặng),313627,,,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),339688,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),331508,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),333107,,,
Intel Core i7 Raptor Lake - 14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),339684,,,
"['AMD Ryzen 7 - 8840HS', 'AMD Ryzen 7']",8,16,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),338208,AMD XDNA,Lên đến 16 TOPS,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),327406,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),327507,,,
Intel Core i5 Raptor Lake - 13420H,8,12,3.4 GHz (Lên đến 4.60 GHz khi tải nặng),341626,,,
"['AMD Ryzen 5 - 7535HS', 'AMD Ryzen 5']",6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),341603,,,
Intel Core Ultra 7 Meteor Lake - 155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),328130,Intel AI Boost,Hãng không công bố,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),339954,,,
Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),326558,Intel AI Boost,Lên đến 11 TOPS,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),337842,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),338315,,,
"['Intel Core i5 Alder Lake - 12500H', 'Intel Core i5 Alder Lake']",12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),328951,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),327409,,,
Intel Core i9 Raptor Lake - 13900H,14,20,2.6GHz,328950,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),327981,,,
Intel Core Ultra 5 Arrow Lake - 225U,12,14,1.50 GHz (Lên đến 4.80 GHz khi tải nặng),341267,Intel AI Boost,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),318354,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),325586,,,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),338280,Intel AI Boost,Lên đến 47 TOPS,
"['AMD Ryzen 7 - 7735HS', 'AMD Ryzen 7']",8,16,3.20 GHz (Lên đến 4.75 GHz khi tải nặng),335549,,,
Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),325051,Intel AI Boost,Hãng không công bố,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),339686,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),328946,,,
"['AMD Ryzen 5 - 8640HS', 'AMD Ryzen 5']",6,12,3.50 GHz (Lên đến 4.90 GHz khi tải nặng),331526,AMD XDNA,Lên đến 16 TOPS,
"['Intel Core i5 Alder Lake - 1240P', 'Intel Core i5 Alder Lake']",12,16,1.70 GHz (Lên đến 4.40 GHz khi tải nặng),302533,,,
Intel Core i5 Raptor Lake - 13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),325480,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),328473,,,
Intel Core 7 Raptor Lake - 150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),328947,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),327508,,,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),342514,,,
Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),325588,Intel AI Boost,Hãng không công bố,
Intel Core Ultra 5 Meteor Lake - 125U,12,14,1.30 GHz (Lên đến 4.30 GHz khi tải nặng),329867,Intel AI Boost,Hãng không công bố,
"['AMD Ryzen 7 - 8845HS', 'AMD Ryzen 7']",8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),322098,AMD XDNA,Lên đến 16 TOPS,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),339953,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),339211,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),329858,,,
Intel Core Ultra 7 Meteor Lake - 155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),331527,Intel AI Boost,Hãng không công bố,
"['Intel Core i5 Alder Lake - 1240P', 'Intel Core i5 Alder Lake']",12,16,1.70 GHz (Lên đến 4.40 GHz khi tải nặng),309565,,,
Intel Core Ultra 5 Lunar Lake - 226V,8,8,2.10 GHz (Lên đến 4.50 GHz khi tải nặng),333098,Intel AI Boost,Lên đến 40 TOPS,
Intel Core i9 Raptor Lake - 13900HX,24,32,3.90 GHz (Lên đến 5.40 GHz khi tải nặng),327901,,,
Intel Core i7 Raptor Lake - 13650HX,14,20,2.60 GHz (Lên đến 4.90 GHz khi tải nặng),327900,,,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),326194,,,
Intel Core Ultra 5 Lunar Lake - 228V,8,8,2.10 GHz (Lên đến 4.50 GHz khi tải nặng),339661,Intel AI Boost,Lên đến 40 TOPS,
"['Intel Core i7 Alder Lake - 12700H', 'Intel Core i7 Alder Lake']",14,20,2.30 GHz (Lên đến 4.70 GHz khi tải nặng),313332,,,
Intel Core Ultra 7 Arrow Lake - 255HX,20,20,2.40 GHz (Lên đến 5.20 GHz khi tải nặng),339647,Intel AI Boost,Max 13 TOPS,
Intel Core Ultra 5 Lunar Lake - 226V,8,8,2.10 GHz (Lên đến 4.50 GHz khi tải nặng),332397,Intel AI Boost,Lên đến 40 TOPS,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),328945,,,
"['Intel Core i3 Alder Lake - 1215U', 'Intel Core i3 Alder Lake', '1215U']",6,8,1.2GHz,312414,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),327899,,,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),342501,,,
"['AMD Ryzen 7 - 8840HS', 'AMD Ryzen 7']",8,16,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),333873,AMD XDNA,Lên đến 16 TOPS,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),322003,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),335550,,,
AMD Ryzen AI 7 - 260,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),340006,AMD XDNA,Lên đến 16 TOPS,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),335832,Intel AI Boost,Lên đến 47 TOPS,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),339680,,,
Intel Core Ultra 5 Arrow Lake - 225U,12,14,1.50 GHz (Lên đến 4.80 GHz khi tải nặng),341266,Intel AI Boost,,
Snapdragon X - X1 26 100,8,Hãng không công bố,Lên đến 3.00 GHz khi tải nặng,334800,Qualcomm Hexagon,Lên đến 45 TOPS,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),339212,,,
Intel Core 7 Raptor Lake - 240H,10,16,2.50 GHz (Lên đến 5.20 GHz khi tải nặng),339690,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),337237,,,
Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),322959,Intel AI Boost,Hãng không công bố,
Intel Core Ultra 5 Arrow Lake - 225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),334796,Intel AI Boost,Max 13 TOPS,
"['AMD Ryzen 7 - 7445HS', 'AMD Ryzen 7']",6,12,3.10 GHz (Lên đến 4.70 GHz khi tải nặng),341623,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),326148,,,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),333099,Intel AI Boost,Lên đến 47 TOPS,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),337242,,,
"['AMD Ryzen 7 - 8845HS', 'AMD Ryzen 7']",8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),326280,AMD XDNA,Lên đến 16 TOPS,
"['AMD Ryzen 5 - 8645HS', 'AMD Ryzen 5']",6,12,4.30 GHz (Lên đến 5.00 GHz khi tải nặng),332579,AMD XDNA,Lên đến 16 TOPS,
AMD Ryzen AI 7 - 350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),341750,AMD XDNA,Lên đến 50 TOPS,
Intel Core Ultra 7 Arrow Lake - 255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),338321,Intel AI Boost,Max 13 TOPS,
AMD Ryzen AI 7 - 350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),335172,AMD XDNA,Lên đến 50 TOPS,
"['AMD Ryzen 5 - 7640HS', 'AMD Ryzen 5']",6,12,4.30 GHz (Lên đến 5.00 GHz khi tải nặng),326059,AMD XDNA,Max 10 TOPS,
"['Intel Core i7 Alder Lake - 12700H', 'Intel Core i7 Alder Lake']",14,20,2.30 GHz (Lên đến 4.70 GHz khi tải nặng),329337,,,
Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),329789,Intel AI Boost,Hãng không công bố,
"['AMD Ryzen 7 - 7840HS', 'AMD Ryzen 7']",8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),323585,AMD XDNA,Max 10 TOPS,
"['AMD Ryzen 5 - 7535HS', 'AMD Ryzen 5']",6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),341608,,,
"['Intel Core i5 Alder Lake - 12500H', 'Intel Core i5 Alder Lake']",12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),317709,,,
AMD Ryzen AI 7 - 350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),334799,AMD XDNA,Lên đến 50 TOPS,
Intel Core Ultra 7 Meteor Lake - 155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),326824,Intel AI Boost,Hãng không công bố,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),335020,Intel AI Boost,Lên đến 47 TOPS,
Intel Core Ultra 7 Arrow Lake - 255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),339659,Intel AI Boost,Max 13 TOPS,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),341751,,,
Intel Core i7 Raptor Lake - 14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),339685,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),311145,,,
"['AMD Ryzen 7 - 7735HS', 'AMD Ryzen 7']",8,16,3.20 GHz (Lên đến 4.75 GHz khi tải nặng),315892,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),327408,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),334444,,,
Intel Core Ultra 7 Arrow Lake - 255HX,20,20,2.40 GHz (Lên đến 5.20 GHz khi tải nặng),339648,Intel AI Boost,Max 13 TOPS,
Intel Core i5 Raptor Lake - 14450HX,10,16,2.40 GHz (Lên đến 4.80 GHz khi tải nặng),341611,,,
Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),321468,Intel AI Boost,Hãng không công bố,
Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),322099,Intel AI Boost,Hãng không công bố,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),330165,,,
Intel Core Ultra 9 Arrow Lake - 285H,16,16,2.90 GHz (Lên đến 5.40 GHz khi tải nặng),334798,Intel AI Boost,Max 13 TOPS,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),315911,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),341752,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),337241,,,
Intel Core Ultra 7 Arrow Lake - 255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),339658,Intel AI Boost,Max 13 TOPS,
Intel Core Ultra 5 Meteor Lake - 125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),320431,Intel AI Boost,Hãng không công bố,
"['Intel Core i7 Alder Lake - 12700H', 'Intel Core i7 Alder Lake']",14,20,2.30 GHz (Lên đến 4.70 GHz khi tải nặng),327974,,,
Intel Core i7 Raptor Lake - 13700H,14,20,Lên đến 5.00 GHz khi tải nặng,325002,,,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),339662,Intel AI Boost,Lên đến 47 TOPS,
Intel Core Ultra 9 Arrow Lake - 275HX,24,24,2.70 GHz (Lên đến 5.40 GHz khi tải nặng),337841,Intel AI Boost,Max 13 TOPS,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),342752,,,
Intel Core 7 Raptor Lake - 150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),326864,,,
AMD Ryzen AI 7 - 350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),334802,AMD XDNA,Lên đến 50 TOPS,
Snapdragon X Plus - X1P 42 100,8,Hãng không công bố,Lên đến 3.40 GHz khi tải nặng,335835,Qualcomm Hexagon,Lên đến 45 TOPS,
Snapdragon X - X1 26 100,8,Hãng không công bố,Lên đến 3.00 GHz khi tải nặng,339234,Qualcomm Hexagon,Lên đến 45 TOPS,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),337236,Intel AI Boost,Lên đến 47 TOPS,
AMD Ryzen AI 5 - 340,6,12,2.00 GHz (Lên đến 4.80 GHz khi tải nặng),339951,AMD XDNA,Lên đến 50 TOPS,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),327509,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),334805,,,
"['AMD Ryzen 5 - 7535HS', 'AMD Ryzen 5']",6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),322269,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),335551,,,
Intel Core Ultra 5 Meteor Lake - 135U,12,14,1.6GHz,338313,Intel AI Boost,Hãng không công bố,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),342758,,,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),330579,Intel AI Boost,Lên đến 47 TOPS,
Intel Core Ultra 5 Arrow Lake - 225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),334806,Intel AI Boost,Max 13 TOPS,
Intel Core i7 Raptor Lake - 14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),341609,,,
Intel Core Ultra 9 Arrow Lake - 275HX,24,24,2.70 GHz (Lên đến 5.40 GHz khi tải nặng),339541,Intel AI Boost,Max 13 TOPS,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),325242,,,
Intel Core i5 Raptor Lake - 13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),311117,,,
Intel Core Ultra 9 Arrow Lake - 275HX,24,24,2.70 GHz (Lên đến 5.40 GHz khi tải nặng),339542,Intel AI Boost,Max 13 TOPS,
Snapdragon X Plus - X1P-64-100,10,Hãng không công bố,Lên đến 3.40 GHz khi tải nặng,339682,Qualcomm Hexagon,Lên đến 45 TOPS,
"['Intel Core i5 Alder Lake - 1235U', 'Intel Core i5 Alder Lake']",10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),327982,,,
Intel Core Ultra 5 Meteor Lake - 125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),328239,Intel AI Boost,Hãng không công bố,
Intel Core i7 Raptor Lake - 14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),341610,,,
Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),320434,,,
Intel Core Ultra 9 Arrow Lake - 275HX,24,24,2.70 GHz (Lên đến 5.40 GHz khi tải nặng),339650,Intel AI Boost,Max 13 TOPS,
Snapdragon X Plus - X1P-64-100,10,Hãng không công bố,Lên đến 3.40 GHz khi tải nặng,340563,Qualcomm Hexagon,Lên đến 45 TOPS,
Intel Core 7 Raptor Lake - 240H,10,16,2.50 GHz (Lên đến 5.20 GHz khi tải nặng),341564,,,
Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),309243,,,
Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),325583,,,
Intel Core Ultra 5 Arrow Lake - 225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),339660,Intel AI Boost,Max 13 TOPS,
Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),329851,,,
Intel Core Ultra 7 Arrow Lake - 255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),334797,Intel AI Boost,Max 13 TOPS,
Intel Core Ultra 7 Meteor Lake - 165U,12,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),335181,Intel AI Boost,Hãng không công bố,
Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),340488,,,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),339689,,,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),342495,,,
Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),325575,,,
Intel Core 5 Raptor Lake - 210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),342497,,,
Intel Core 7 Raptor Lake - 240H,10,16,1.80 GHz (Lên đến 5.20 GHz khi tải nặng),341566,,,
Intel Core Ultra 9 Lunar Lake - 288V,8,8,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),332350,Intel AI Boost,Lên đến 48 TOPS,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),332352,Intel AI Boost,Lên đến 47 TOPS,
Intel Core 7 Raptor Lake - 240H,10,16,1.80 GHz (Lên đến 5.20 GHz khi tải nặng),341565,,,
Intel Core Ultra 9 Arrow Lake - 285HX,24,24,2.8GHz,335010,Intel AI Boost,Max 13 TOPS,
Intel Core 9 Raptor Lake - 270H,14,20,2.70 GHz (Lên đến 5.80 GHz khi tải nặng),341567,,,
Intel Core Ultra 9 Arrow Lake - 285HX,24,24,2.8GHz,335112,Intel AI Boost,Max 13 TOPS,
Intel Core Ultra 9 Arrow Lake - 275HX,24,24,2.70 GHz (Lên đến 5.40 GHz khi tải nặng),335113,Intel AI Boost,Max 13 TOPS,
Intel Core i5 Raptor Lake - 1334U,10,12,3.4 GHz (Lên đến 4.60 GHz khi tải nặng),342756,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,342024,,,
"['Apple M1', 'Apple M1']",8,Hãng không công bố,Hãng không công bố,231244,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),342942,,,
"['AMD Ryzen 5 - 7530U', 'AMD Ryzen 5']",6,12,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),342755,,,
AMD Ryzen AI 7 - 250,8,16,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),342507,AMD XDNA,Lên đến 16 TOPS,
Intel Core 7 Raptor Lake - 150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),341621,,,
Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),342519,,,
Intel Core i5 Raptor Lake - 1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),342941,,,
"['Intel Celeron - N4500', 'Intel Celeron']",2,2,1.1GHz,328599,,,
Apple M4 Max - Hãng không công bố,14,Hãng không công bố,410 GB/s memory bandwidth,332451,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,335366,,,
Intel Core 7 Raptor Lake - 150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),341622,,,
Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),305009,,,
Intel Core Ultra 7 Meteor Lake - 165U,12,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),331523,Intel AI Boost,Hãng không công bố,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,331567,,,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,335369,,,
AMD Ryzen AI 9 - HX PRO 375,12,24,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),339558,AMD XDNA,Max 55 TOPS,
Intel Core i7 Raptor Lake - 14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),341613,,,
Celeron - N4500,2,2,1.1GHz,328598,,,
Intel Core Ultra 5 Meteor Lake - 135U,12,14,1.6GHz,331522,Intel AI Boost,Hãng không công bố,
Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,332448,,,
Intel Core i7 Raptor Lake - 14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),334694,,,
Snapdragon X Elite - X1E 78 100,12,12,Lên đến 3.40 GHz khi tải nặng,337040,Qualcomm Hexagon,Lên đến 45 TOPS,
Intel Core i7 Raptor Lake - 13650HX,14,20,2.60 GHz (Lên đến 4.90 GHz khi tải nặng),337844,,,
AMD Ryzen AI 7 - 350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),339235,AMD XDNA,Lên đến 50 TOPS,
AMD Ryzen AI 7 - 350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),339236,AMD XDNA,Lên đến 50 TOPS,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),341269,Intel AI Boost,Lên đến 47 TOPS,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),342505,Intel AI Boost,Lên đến 47 TOPS,
"['Intel Core i5 Alder Lake - 12450H', 'Intel Core i5 Alder Lake']",8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),284343,,,
Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),332274,Intel AI Boost,Hãng không công bố,
,,,,335015,,,"Hiệu năng xử lý AI (TOPS):
                                    
                                    
                                                    Max 13 TOPS"
,,,,335963,,,"Hiệu năng xử lý AI (TOPS):
                                    
                                    
                                                    Max 13 TOPS"
,,,,335964,,,"Hiệu năng xử lý AI (TOPS):
                                    
                                    
                                                    Max 13 TOPS"
Intel Core Ultra 9 Lunar Lake - 288V,8,8,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),341268,Intel AI Boost,Lên đến 40 TOPS,
Intel Core Ultra 9 Lunar Lake - 288V,8,8,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),341572,,,
AMD Ryzen AI 9 - HX 370,12,24,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),341573,AMD XDNA,Lên đến 50 TOPS,
Intel Core Ultra 7 Lunar Lake - 258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),342504,Intel AI Boost,Lên đến 47 TOPS,
Intel Core Ultra 7 Arrow Lake - 255U,12,14,2 GHz (Lên đến 5.20 GHz khi tải nặng),342508,Intel AI Boost,Lên đến 12 TOPS,
Intel Core i7 Raptor Lake - 14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),342517,,,
"['AMD Ryzen 7 - 260', 'AMD Ryzen 7']",8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),342523,AMD XDNA,Lên đến 16 TOPS,
Intel Core i9 Raptor Lake - 14900HX,24,32,2.20 GHz (Lên đến 5.80 GHz khi tải nặng),342721,,,
Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),342725,,,
