Card màn hình,data_id,Số nhân GPU,Công suất đồ hoạ - TGP,Hiệu năng xử lý AI (TOPS)
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",333094,,,
"['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)', 'Card tích hợp']",323335,,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",272282,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",313973,2304 CUDA Cores,70 W,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",321436,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",329112,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",336968,Hãng không công bố,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",339616,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",329787,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",337471,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",336031,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",335171,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",333872,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",326876,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",337843,2560 CUDA Cores,75 W,Lên đến 194 TOPS
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",327506,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",328815,,,
"['Card tích hợp - Intel Arc 140V', 'Card tích hợp']",333197,,,
"['Card rời - NVIDIA GeForce RTX 5070Ti, 12 GB', 'Card rời']",339952,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",313627,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",339688,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",331508,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",333107,,,
"['Card rời - NVIDIA GeForce RTX 5050, 8 GB', 'Card rời']",339684,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",338208,,,
"['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)', 'Card tích hợp']",327406,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",327507,,,
"['Card rời - NVIDIA GeForce RTX 5050, 8 GB', 'Card rời']",341626,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",341603,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",328130,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",339954,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",326558,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",337842,2560 CUDA Cores,75 W,Lên đến 194 TOPS
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",338315,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",328951,,,
"['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)', 'Card tích hợp']",327409,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",328950,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",327981,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",341267,,,
